id,objectName,additionalInformation,create,update,name,status,customerNumber,surename,familyname,titel,category,description,academicTitle,gender,sevClient,name2,birthday,vatNumber,bankAccount,bankNumber,defaultCashbackTime,defaultCashbackPercent,defaultTimeToPay,taxNumber,taxOffice,exemptVat,taxType,defaultDiscountAmount,defaultDiscountPercentage,buyerReference,governmentAgency,defaultShowVat
98054504,Contact,,2025-03-02T22:19:16+01:00,2025-03-02T22:19:16+01:00,Testing2,1000,1020,,,,"{'id': '2', 'objectName': 'Category'}",,,,"{'id': '964602', 'objectName': 'SevClient'}",,,,,,,,,,,0,,,1,,0,1
98065087,Contact,,2025-03-03T06:23:19+01:00,2025-03-03T06:23:19+01:00,RANDOMNAMETest,1000,1022,,,,"{'id': '2', 'objectName': 'Category'}",,,,"{'id': '964602', 'objectName': 'SevClient'}",Testing,,,,,,,,,,0,,,1,,0,1
77546332,Contact,,2024-06-17T14:05:22+02:00,2024-06-17T14:05:22+02:00,,1000,1000,Maxi,Musterfrau,,"{'id': '3', 'objectName': 'Category'}",,,,"{'id': '964602', 'objectName': 'SevClient'}",,,,,,,,,,,0,,,1,,0,1
77546357,Contact,,2024-06-17T14:06:00+02:00,2024-06-17T14:06:00+02:00,,1000,1001,Max,Mustermännchen,,"{'id': '3', 'objectName': 'Category'}",,,,"{'id': '964602', 'objectName': 'SevClient'}",,,,,,,,,,,0,,,1,,0,1
77546371,Contact,,2024-06-17T14:06:23+02:00,2024-06-17T14:06:23+02:00,,1000,1002,Maxime,Mustermann,,"{'id': '3', 'objectName': 'Category'}",,,,"{'id': '964602', 'objectName': 'SevClient'}",,,,,,,,,,,0,,,1,,0,1
77546379,Contact,,2024-06-17T14:06:44+02:00,2024-06-17T14:06:44+02:00,,1000,1003,Maxime,Musterfrau,,"{'id': '3', 'objectName': 'Category'}",,,,"{'id': '964602', 'objectName': 'SevClient'}",,,,,,,,,,,0,,,1,,0,1
77546394,Contact,,2024-06-17T14:07:07+02:00,2024-06-17T14:07:07+02:00,,1000,1004,Max,Mustermann,,"{'id': '3', 'objectName': 'Category'}",,,,"{'id': '964602', 'objectName': 'SevClient'}",,,,,,,,,,,0,,,1,,0,1
83206214,Contact,,2024-09-14T16:52:15+02:00,2024-09-14T16:52:15+02:00,Testing GmbH,1000,1005,,,,"{'id': '3', 'objectName': 'Category'}",,,,"{'id': '964602', 'objectName': 'SevClient'}",,,,,,,,,,,0,,,1,,0,1
83273303,Contact,,2024-09-15T22:23:07+02:00,2024-09-15T22:23:07+02:00,,1000,1006,Neo,Neulich,,"{'id': '3', 'objectName': 'Category'}",,,,"{'id': '964602', 'objectName': 'SevClient'}",,,,,,,,,,,0,,,1,,0,1
83412747,Contact,,2024-09-17T10:27:09+02:00,2024-10-12T22:26:54+02:00,,1000,1007,Emil,Emaillos,,"{'id': '3', 'objectName': 'Category'}",,,,"{'id': '964602', 'objectName': 'SevClient'}",,,,,,,,,,,0,,,1,,0,1
85043281,Contact,,2024-10-12T23:06:45+02:00,2024-10-12T23:06:45+02:00,,1000,1008,Frieda,Freund,,"{'id': '3', 'objectName': 'Category'}",,,,"{'id': '964602', 'objectName': 'SevClient'}",,,,,,,,,,,0,,,1,,0,1
85043316,Contact,,2024-10-12T23:10:51+02:00,2024-10-12T23:10:51+02:00,,1000,1009,Gustav,Gans,,"{'id': '3', 'objectName': 'Category'}",,,,"{'id': '964602', 'objectName': 'SevClient'}",,,,,,,,,,,0,,,1,,0,1
85122855,Contact,,2024-10-14T10:47:09+02:00,2024-10-14T10:47:09+02:00,,1000,1010,Heinrich,Heine,,"{'id': '3', 'objectName': 'Category'}",,,,"{'id': '964602', 'objectName': 'SevClient'}",,,,,,,,,,,0,,,1,,0,1
85126242,Contact,,2024-10-14T11:26:08+02:00,2024-10-14T11:26:08+02:00,,1000,1011,Ida,Ines,,"{'id': '3', 'objectName': 'Category'}",,,,"{'id': '964602', 'objectName': 'SevClient'}",,,,,,,,,,,0,,,1,,0,1
97621131,Contact,,2025-02-24T18:43:02+01:00,2025-02-24T18:43:02+01:00,,100,1012,,,,"{'id': '3', 'objectName': 'Category'}",,,,"{'id': '964602', 'objectName': 'SevClient'}",,,,,,,,,,,0,,,1,,0,1
97642658,Contact,,2025-02-24T23:47:35+01:00,2025-02-25T15:14:30+01:00,,100,1014,Test,User,,"{'id': '3', 'objectName': 'Category'}",,,,"{'id': '964602', 'objectName': 'SevClient'}",,,,,,,,,,,0,,,1,,0,1
97710365,Contact,,2025-02-25T16:47:42+01:00,2025-02-25T16:47:42+01:00,,1000,1015,Prakhar,Prakash,,"{'id': '3', 'objectName': 'Category'}",,,,"{'id': '964602', 'objectName': 'SevClient'}",,,,,,,,,,,0,,,1,,0,1
97713515,Contact,,2025-02-25T17:34:42+01:00,2025-02-25T17:34:42+01:00,sevdeskORG,1000,1016,,,,"{'id': '3', 'objectName': 'Category'}",,,,"{'id': '964602', 'objectName': 'SevClient'}",,,,,,,,,,,0,,,1,,0,1
97985262,Contact,,2025-03-02T00:05:11+01:00,2025-03-02T10:34:55+01:00,Testing,100,1019,,,,"{'id': '3', 'objectName': 'Category'}",,,,"{'id': '964602', 'objectName': 'SevClient'}",,,,,,,,,,,0,,,1,,0,1
98054605,Contact,,2025-03-02T22:21:11+01:00,2025-03-03T06:04:26+01:00,,1000,1021,Testing,Testid,,"{'id': '3', 'objectName': 'Category'}",,,m,"{'id': '964602', 'objectName': 'SevClient'}",,,,,,,,,,,0,,,1,,0,1
98192934,Contact,,2025-03-04T20:01:44+01:00,2025-03-04T20:01:44+01:00,Final Test,1000,1023,,,,"{'id': '3', 'objectName': 'Category'}",,,,"{'id': '964602', 'objectName': 'SevClient'}",,,,,,,,,,,0,,,1,,0,1
